gion code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
24,88,"ОСП по исполнению исполнительных документов о взыскании алиментных платежей по г. Красноярску","660017, Россия, Красноярский край, , г. Красноярск, , ул. Карла Маркса, д. 112А, ,","Черкасова Надежда Николаевна",+7(391)222-02-44,+7(391)213-94-93,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 13.00, ЧТ с 13.00 до 18.00","- город Красноярск"
24,89,"ОСП по г. Железногорску ГУФССП России по Красноярскому краю","662971, Россия, Красноярский край, , г. Железногорск, , ул. Горького, д. 61, ,","Беляева Наталья Борисовна",+7(391)222-02-44,+7(39197)5-61-02,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- ЗАТО город Железногорск"
24,90,"ОСП по г. Минусинску и Минусинскому району","662602, Россия, Красноярский край, , г. Минусинск, , ул. Бограда, д. 2, ,","Еськина Надежда Ивановна",+7(391)222-02-44,+7(39132)2-01-90,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- город Минусинск"
29,25,"ОСП по г. Новодвинску","164901, Россия, Архангельская обл., , г. Новодвинск, , ул. Первомайская, 7, ,","Воробьева Вера Владимировна",+7(81852)5-01-46,"+7(81852)5-01-46    ",+7(818)525-01-46,+7(818)241-16-16,"каждый вторник 09.00 до 13.00, каждый четверг 13.00 до 18.00","- город Новодвинск"
24,92,"Байкитское ОСП Эвенкийского района ГУФССП России по Красноярскому краю","648360, Россия, Красноярский край, Эвенкийский р-н, , с. Байкит, ул. Гагарина, 5, ,","Федорова Ирина Александровна",+7(391)222-02-44,+7(39178)2-15-41,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- село Байкит"
24,93,"Ванаварское ОСП Эвенкийского района ГУФССП России по Красноярскому краю","648490, Россия, Красноярский край, Эвенкийский р-н, , с. Ванавара, ул. Нефтеразведочная, д. 5а, ,","Захаркова Татьяна Александровна",+7(391)222-02-44,+7(39177)220-10,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- село Ванавара"
24,95,"ОСП по Эвенкийскому району ГУФССП России по Красноярскому краю","648000, Россия, Красноярский край, Эвенкийский р-н, , п. Тура, ул. Кочечумская, 18, ,","Барбариго Ирина Михайловна",+7(391)222-02-44,+7(39170)2-20-07,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- поселок Тура"
24,97,"МОСП по ИНХ по г. Красноярску ГУФССП России по Красноярскому краю","660012, Россия, Красноярский край, , г. Красноярск, , ул. Анатолия Гладкова, д. 8, ,","Козлова Елена Ивановна",+7(391)222-02-44,,+7(391)222-02-44,+7(391)222-02-44,"ВТ с 9.00 до 15.00, ЧТ с 14.00 до 18.00","- город Красноярск"
25,0,"ГУФССП России по Приморскому краю","690091, Россия, Приморский край, , г. Владивосток, , ул. Посьетская, д. 48, ,","Протопопова Элеонора Борисовна",,+7(423)241-34-09,,+74232493710,четверг,"- Владивостокский"
25,1,"Отдел судебных приставов по Ленинскому и Фрунзенскому районам Владивостокского городского округа","690001, Россия, Приморский край, , г. Владивосток, , ул. Дальзаводская, 2А, ,","Шеваракова Марина Викторовна","(423) 246-47-70",,+7(423)246-47-70,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00  ","- Владивостокский"
25,2,"Отделение судебных приставов по Первомайскому району Владивостокского городского округа","690035, Россия, Приморский край, , г. Владивосток, , ул. Вязовая, д. 7, ,","Фомина Виктория Викторовна","(423) 264-88-09","(423) 264-88-12, 264-88-08, 264-88-14",+7(423)264-88-12,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,3,"Отделение судебных приставов по Первореченскому району Владивостокского городского округа","690018, Россия, Приморский край, , г. Владивосток, , ул. Невская, д. 38, ,","Врио Терпугов Александр Михайлович","(423) 236-79-34",,+7(423)236-47-34,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00  ","- Владивостокский"
25,4,"Отделение судебных приставов по Советскому району Владивостокского городского округа","690039, Россия, Приморский край, , г. Владивосток, , ул. Русская, д. 19А, ,","Магерчук Алексей Анатольевич","(423) 246-72-79","(423) 246-72-48",+7(423)246-72-79,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00  ","- Владивостокский"
25,6,"Отдел судебных приставов по Артемовскому городскому округу","692760, Россия, Приморский край, , г. Артем, , ул. 40 лет Октября, д. 40, ,","Карпова Марина Николаевна","(42337) 4-79-38",8(42337)4-79-24,+7(42337)4-79-24,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00  ","- Артемовский"
25,7,"Отделение судебных приставов по Арсеньевскому городскому округу","692337, Россия, Приморский край, , г. Арсеньев, , ул. Заводская, 5, , ","Левагин Алексей Дмитриевич",(42361)4-26-34,,+7(42361)4-26-34,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00  ","- Арсеньевский"
25,8,"Отделение судебных приставов по Дальнереченскому городскому округу и Дальнереченскому муниципальному району","692132, Россия, Приморский край, , г. Дальнереченск, , ул. Героев Даманского, д. 30, ,","Гулая Галина Васильевна","+7(42356) 3-21-96",+7(42356)32196,+7(42356)3-21-96,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Дальнереченский"
25,9,"Отделение судебных приставов по Лесозаводскому городскому округу","692042, Россия, Приморский край, , г. Лесозаводск, , ул. Калининская, д. 37, ,","Терновская Дарина Владимировна"," (42355) 29-8-18","(42355) 29-8-18",,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00    ","- Лесозаводский"
25,10,"Отделение судебных приставов по Партизанскому городскому округу","692864, Россия, Приморский край, , г. Партизанск, , ул. 50 лет ВЛКСМ, д. 28, ,","Бабич Галина Андреевна","(42363) 6-73-13","(42363) 6-73-13, 6-35-36, 6-92-79",+7(42363)6-73-13,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Партизанский"
25,11,"Отдел судебных приставов по Находкинскому городскому округу","692913, Россия, Приморский край, , г. Находка, , ул. Нахимовская, д. 7Б, ,","Махова Анастасия Александровна","(42366) 3-36-31","(4236) 63-36-31",,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Находкинский"
25,12,"Отделение судебных приставов по городскому округу Спасск-Дальнему и Спасскому муниципальному району","692245, Россия, Приморский край, , г. Спасск-Дальний, , ул. Ленинская, д. 42, ,","Рузанов Руслан Михайлович","(42352) 2-01-75","(42352) 2-01-75",+7(42352)2-01-60,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Спасск-Дальний"
25,13,"Отдел судебных приставов по Уссурийскому городскому округу","692519, Россия, Приморский край, , г. Уссурийск, , ул. Октябрьская, д. 97, ,","Кудинова Евгения Александровна","(4234) 32-80-49","(4234) 32-80-49",,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Уссурийский"
25,14,"Отделение судебных приставов по городу Фокино","692880, Россия, Приморский край, , г. Фокино, , ул. Белашева, д. 1А, ,","Жарикова Галина Сергеевна","(42339) 27-0-44","(42339) 270-44",+7(42339)2-84-77,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- ЗАТО Фокино"
25,15,"Отделение судебных приставов по Анучинскому району","692300, Россия, Приморский край, Анучинский р-н, , с. Анучино, ул. 100 лет Анучино, д. 1, ,","Барабаш Галина Александровна","(42362) 9-12-03","(42362) 9-12-03",+7(42362)9-12-03,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Анучинский муниципальный район"
25,16,"Отделение судебных приставов по Дальнегорскому городскому округу","692446, Россия, Приморский край, , г. Дальнегорск, , 50 лет Октября пр-кт, д. 89А, ,","Ахматшина Людмила Юрьевна","(42373) 32-6-98","8(42373) 32-6-98, 8(42373)3-23-36",+7(42373)3-26-98,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Дальнегорский"
25,17,"Отделение судебных приставов по Кавалеровскому району","692413, Россия, Приморский край, Кавалеровский р-н, , пгт. Кавалерово, ул. Арсеньева, 96, ,","Щуплецов Игорь Владимирович","(42375) 9-13-49","(42375) 9-13-49, 9-60-34",+7(42375)9-60-34,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Кавалеровский муниципальный район"
25,18,"Отделение судебных приставов по Кировскому району","692091, Россия, Приморский край, Кировский р-н, , пгт. Кировский, ул. Ленинская, 40, ,","Радченко Светлана Владимировна","(42354) 22-3-02","(42354) 22-3-02",+7(42354)2-23-02,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Кировский муниципальный район"
25,19,"Отделение судебных приставов по Красноармейскому району","692171, Россия, Приморский край, Красноармейский р-н, , с. Новопокровка, ул. Калинина, д. 11, ,","Лядецкий Дмитрий Борисович","+7(914) 702-44-35",,+7(914)702-44-35,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Красноармейский муниципальный район"
25,20,"Отделение судебных приставов по Лазовскому району","692980, Россия, Приморский край, Лазовский р-н, , с. Лазо, ул. Некрасовская, д. 16, ,","Сероштан Анна Васильевна","(42377) 21-2-87","(42377) 21-2-87",+7(42377)2-12-87,+74232493710,"Вт с 09.00 до 13.00, Чт с 13.00 до 18.00      ","Лазовский муниципальный район"
25,21,"Отделение судебных приставов по Михайловскому району","692651, Россия, Приморский край, Михайловский р-н, , с. Михайловка, ул. Красноармейская, д. 38, ,","Кибенко Андрей Евгеньевич","(42346) 2-39-86","(42346) 2-39-86, 2-35-30, 2-54-37",+7(42346)2-35-30,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Михайловский муниципальный район"
25,22,"Отделение судебных приставов по Надеждинскому району","692481, , Приморский край, Надеждинский р-н, , с. Вольно-Надеждинское, ул. Пушкина, 34А, , ","Бордунова Светлана Константиновна","(42334) 2-16-92","(42334) 2-16-92",+7(423)342-16-92,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Надеждинский муниципальный район"
25,23,"Отделение судебных приставов по Октябрьскому району","692561, Россия, Приморский край, Октябрьский р-н, , с. Покровка, ул. Карла Маркса, д. 81А, ,","Пищанская Ольга Сергеевна","(42344) 5-53-82","(42344) 5-53-82",+7(42344)5-53-82,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Октябрьский муниципальный район"
25,24,"Отделение судебных приставов по Ольгинскому району","692460, Россия, Приморский край, Ольгинский р-н, , пгт. Ольга, ул. Комсомольская, д. 22, ,","Дорошенко Сергей Дмитриевич","(42376) 9-13-63","(42376) 9-13-63",+7(42376)9-13-63,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Ольгинский муниципальный район"
25,25,"Отделение судебных приставов по Пограничному району","692582, Россия, Приморский край, Пограничный р-н, , пгт. Пограничный, ул. Советская, д. 29, ,","Жугина Ирина Сергеевна","(42345) 2-18-78","(42345) 2-18-78",+7(42345)2-26-10,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Пограничный муниципальный район"
25,26,"Отделение судебных приставов по Пожарскому району","692001, Россия, Приморский край, Пожарский р-н, , пгт. Лучегорск, мкр. 4-й, 2, ,","Глимаков Александр Анатольевич","(42357) 37-3-21","(42357) 37-3-21",+7(42357)3-73-21,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Пожарский муниципальный район"
25,27,"Отделение судебных приставов по Тернейскому району","692150, Россия, Приморский край, Тернейский р-н, , пгт. Терней, ул. Партизанская, д. 46, ,","Щекалев Константин Борисович","(42374) 3-13-87","(42374) 3-13-87",+7(42374)3-13-87,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Тернейский муниципальный район"
25,28,"Отделение судебных приставов по Ханкайскому району","692684, Россия, Приморский край, Ханкайский р-н, , с. Камень-Рыболов, ул. 50 лет ВЛКСМ, 4, ,","Брант Александр Христьянович","(42349) 97-3-82",,+7(42349)9-79-18,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Ханкайский муниципальный район"
25,29,"Отделение судебных приставов по Хасанскому району","692701, Россия, Приморский край, Хасанский р-н, , пгт. Славянка, ул. Свободная, д. 3В, ,","Луканина Светлана Игоревна","(42331) 4-77-02","8(42331) 4-77-02, 8(42331)464-26",+7(42331)4-77-02,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Хасанский муниципальный район"
25,30,"Отделение судебных приставов по Хорольскому району","692254, Россия, Приморский край, Хорольский р-н, , с. Хороль, ул. Советская, д. 2, ,","Никитина Ольга Вячеславовна","(42347) 21-6-56","(42347) 2-16-56",+7(42347)2-16-56,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Хорольский муниципальный район"
25,31,"Отделение судебных приставов по Черниговскому району","692372, Россия, Приморский край, Черниговский р-н, , с. Черниговка, ул. Буденного, д. 29, ,","Курков Сергей  Леонидович","(42351) 2-38-58",,+7(42351)2-38-60,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Черниговский муниципальный район"
25,32,"Отделение судебных приставов по Чугуевскому району","692623, Россия, Приморский край, Чугуевский р-н, , с. Чугуевка, ул. 50 лет Октября, д. 119, ,","Покрашенко Зоя Алексеевна","(42372) 233-25","(42372) 2-33-25",+7(42372)2-33-25,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Чугуевский муниципальный район"
25,33,"Отделение судебных приставов по городу Большой Камень","692801, Россия, Приморский край, , г. Большой Камень, , ул. Блюхера, д. 25, ,","Шафаренко Вероника Александровна","(42335) 4-14-88","(42335) 4-09-23",+7(42335)4-14-88,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- ЗАТО Большой Камень"
25,34,"Отделение судебных приставов по Шкотовскому району","692815, Россия, Приморский край, Шкотовский р-н, , пгт. Шкотово, ул. Лазо, д. 5, ,","Коломойцева Евгения Владимировна","(42335) 3-13-99","8 (42335) 3-13-99, 8(42335) 3-13-63",+7(42335)3-13-99,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Шкотовский муниципальный район"
25,35,"Отделение судебных приставов по Яковлевскому району","692361, Россия, Приморский край, Яковлевский р-н, , с. Яковлевка, ул. Советская, д. 59, ,","Штанулин Василий Станиславович","(42371) 97-9-33","(42371) 9-15-23",+7(42371)9-15-23,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Яковлевский муниципальный район"
25,36,"Отделение судебных приставов по Партизанскому району","692962, Россия, Приморский край, Партизанский р-н, , с. Владимиро-Александровское, ул. Комсомольская, д. 22, ,","Федоренко Виктория Юрьевна"," (42365) 212-54","(42365) 2-11-50",,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","Партизанский муниципальный район"
25,37,"Межрайонный отдел по особым исполнительным производствам ","690001, Россия, Приморский край, , г. Владивосток, , ул. Посьетская, д. 48, ,","Тараненко Сергей Михайлович","(423)  246-47-62","(423) 246-47-62",+7(423)246-47-80,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,38,"Специализированное межрайонное отделение судебных приставов по ОУПДС арбитражных судов","690090, Россия, Приморский край, , г. Владивосток, , ул. Светланская, д. 54, ,","Анреев Юрий Евгеньевич","(423) 221-09-80",,,+74232493710,"Пн–Пт с 09.00 до 18.00    ","- Владивостокский"
25,40,"Отделение судебных приставов по исполнению исполнительных документов о взыскании алиментных платежей по Владивостокскому городскому округу","69001, Россия, Приморский край, , г. Владивосток, , ул. Посьетская, д. 48, ,","Абдуллина Анна Александровна","(423) 241-34-12","8 (423) 241-34-12",+7(423)241-08-93,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,41,"Отделение судебных приставов по взысканию административных штрафов по Владивостокскому городскому округу","690001, Россия, Приморский край, , г. Владивосток, , ул. Дальзаводская, д. 2А, ,","Фомина Викторя Викторовна","8(423) 260-47-13","8 (423)260-47-13",+7(423)260-47-11,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,42,"Межрайонное отделение судебных приставов по розыску должников, их имущества и розыску детей","690091, Россия, Приморский край, , г. Владивосток, , ул. Уборевича, д. 20, корп. А,","Смирнов Валерий Александрович","+7(423) 222-21-29",,+7(423)222-55-84,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,43,"Отделение судебных приставов по исполнению исполнительных документов в отношении юридических лиц по Владивостокскому городскому округу","690001, Россия, Приморский край, , г. Владивосток, , ул. Дальзаводская, д. 2А, ,","Долгополов Сергей Александрович","8(423) 246-47-70",,+7(423)246-47-55,+74232493710,"Вт с 9.00 до 13.00, Чт с 13.00 до 18.00","- Владивостокский"
25,44,"Специализированное отделение по обеспечению установленного порядка деятельности Девятого кассационного суда общей юрисдикции Главного управления Федеральной службы судебных приставов по Приморскому краю","690090, Россия, Приморский край, , г. Владивосток, , ул. Светланская, д. 54, ,","Мархель Игорь Алексеевич",,,,+74232493710,"Пн-Чт с 09.00 до 18.00, Пт с 09.00-16.45, обед с 13.00-13.45","- Владивостокский"
26,0,"ГУ ФССП России по Ставропольскому краю","355017, Россия, Ставропольский край, , г. Ставрополь, , ул. Маршала Жукова, 46, ,","Захарова Марина Анатольевна","+7(8652) 22-73-55","+7(8652) 24-06-88",+7(8652)94-02-85,+78652258191,"четверг с 14.00 до 18.00","- город Ставрополь"
26,4,"Александровское районное отделение судебных приставов","356300, Россия, Ставропольский край, Александровский р-н, , с. Александровское, ул. К.Маркса, 56, ,","Мосина Полина Владимировна","+7(86557) 2-13-41","+7(86557) 2-28-06",+7(962)440-87-96,+78652258191,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","- Александровский сельсовет"
26,5,"Андроповское районное отделение судебных приставов","357070, Россия, Ставропольский край, Андроповский р-н, , с. Курсавка, ул. Красная, 43, а,","Мурадов Владимир Масисович","+7(86556) 6-14-33","+7(86556) 6-14-39",+7(962)440-87-93,+7(8652)25-81-91,"вторник с 09.00 до 15.00,          четверг с 14.00 до 18.00","Андроповский муниципальный район"
26,6,"Апанасенковское районное отделение судебных приставов","356700, Россия, Ставропольский край, Апанасенковский р-н, , с. Дивное, ул. Советская, 85, А,","Сиденко Владимир Алексеевич","+7(86555) 4-56-16","+7(86555) 5-05-46",+7(962)440-93-82,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Апанасенковский муниципальный район"
26,7,"Арзгирское районное отделение судебных приставов","356570, Россия, Ставропольский край, Арзгирский р-н, , с. Арзгир, ул. Есипенко, 9, ,","Кашников Сергей Геннадьевич","+7(86560) 3-30-78","+7(86560) 3-32-94",+7(962)440-87-69,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Арзгирский муниципальный район"
26,47,"Отделение специального назначения","355017, , , , г. Ставрополь, , ул. Мира, 280/2, , ","Балаян Артем Эдуардович",,,,+78652258191,"понедельник-четверг с 9.00 до 18.00, пятница 9.00 до 16.45; перерыв с 13.00 до 13.45","- город Ставрополь"
26,8,"Благодарненское районное отделение судебных приставов","356400, Россия, Ставропольский край, Благодарненский р-н, г. Благодарный, , ул. Советская, 391, ,","Мирзоян Гарик Айкович","+7(86549) 2-26-37","+7(86549) 2-26-37",+7(962)440-88-17,+7(8652)25-81-91,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","Благодарненский муниципальный район"
26,9,"Буденновское районное отделение судебных приставов","356800, Россия, Ставропольский край, Буденновский р-н, г. Буденновск, , ул. Розы Люксембург, 26, ,","Тиридатов Анатолий Павлович","+7(86559) 2-32-46","+7(86559) 2-32-46",+7(962)440-93-53,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Будённовский муниципальный район"
26,10,"Георгиевский районный отдел судебных приставов","357820, Россия, Ставропольский край, , г. Георгиевск, , ул. Калинина, 10, , ","Капуста Анатолий Петрович","+7(87951) 5-12-64","+7(87951) 5-12-64",+7(962)440-90-72,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Георгиевский муниципальный район"
26,11,"Грачевское районное отделение судебных приставов","356250, Россия, Ставропольский край, Грачевский р-н, , с. Грачевка, пер. Цветочный, 5, ,","Малых Александр Николаевич","+7(86540) 4-16-31","+7(86540) 4-08-58",+7(962)440-87-82,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Грачёвский муниципальный район"
26,13,"Железноводское городское отделение судебных приставов","357400, Россия, Ставропольский край, , г. Железноводск, , ул. Ленина, д. 71, , ","Чубаров Константин Александрович","+7(87932) 4-49-85","+7(87932) 4-13-90",+7(962)440-90-74,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","- город-курорт Железноводск"
26,14,"Изобильненское районное отделение судебных приставов","356140, Россия, Ставропольский край, , г. Изобильный, , ул. Красная, д. 11, корп. a, ","Жужель Виталий Николаевич","+7(86545) 2-25-46","+7(86545) 2-11-60",+7(962)440-94-58,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Изобильненский муниципальный район"
26,15,"Ипатовское районное отделение судебных приставов","356630, Россия, Ставропольский край, Ипатовский р-н, г. Ипатово, , ул. Ленинградская, 20, ,","Фидорцова Оксана Владимировна","+7(86542) 5-65-10","+7(86542) 5-64-44",+7(962)440-94-38,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Ипатовский муниципальный район"
26,16,"Кировское районное отделение судебных приставов","357300, Россия, Ставропольский край, Кировский р-н, г. Новопавловск, , ул. Мира, 190, б,","Коробейникова Татьяна Сергеевна","+7(87938) 2-26-87","+7(87938) 5-12-25",+7(962)440-90-64,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Кировский муниципальный район"
26,17,"Кисловодское городское отделение судебных приставов","357703, Россия, Ставропольский край, , г. Кисловодск, , ул. Жуковского, 10, ,","Хасанов Исмаил Османович","+7(87937) 6-68-50","+7(87937) 6-68-50",+7(962)440-90-69,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","- город-курорт Кисловодск"
26,18,"Кочубеевское районное отделение судебных приставов","357000, Россия, Ставропольский край, Кочубеевский р-н, , с. Кочубеевское, ул. Советская, 103, ,","Джамаладинов Артур Абдуллаевич","+7(86550) 2-00-83","+7(86550) 2-39-12",+7(962)440-90-58,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","- село Кочубеевское"
26,19,"Красногвардейское районное отделение судебных приставов","356030, Россия, Ставропольский край, Красногвардейский р-н, , с. Красногвардейское, ул. Орджоникидзе, 1, ,","Сигида Олеся Александровна","+7(86541) 2-48-16","+7(86541) 2-47-51",+7(962)440-94-62,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Красногвардейский муниципальный район"
26,20,"Курское районное отделение судебных приставов","357850, Россия, Ставропольский край, Курский р-н, , ст-ца Курская, пер. Комсомольский, 8, ,","Заргаров Артур Ильич","+7(87964) 6-34-58","+7(87964) 6-34-58",+7(962)440-93-52,+78652258191,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","Курский муниципальный район"
26,21,"Левокумское районное отделение судебных приставов","357960, Россия, Ставропольский край, Левокумский р-н, , с. Левокумское, ул. Комсомольская, 70, ,","Музыкин Андрей Иванович","+7(86543) 3-13-15","+7(86543) 3-15-58",+7(962)440-87-64,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Левокумский муниципальный район"
26,22,"Лермонтовcкое городское отделение судебных приставов","357342, Россия, Ставропольский край, , г. Лермонтов, , ул. Пятигорская, д. 15, , ","Степанян Андроник Юрьевич","+7(87935) 3-12-39","+7(87935) 3-27-49",+7(962)440-93-83,+78652258191,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","- город Лермонтов"
26,23,"Минераловодское районное отделение судебных приставов","357200, Россия, Ставропольский край, , г. Минеральные Воды, , 22 Партсъезда пр-кт, д. 4, , ","Лавриков Виталий Владимирович","+7(87922) 6-52-98","+7(87922) 6-52-98",+7(962)440-93-23,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Минераловодский муниципальный район"
26,24,"Невинномысское городское отделение судебных приставов","357100, Россия, Ставропольский край, , г. Невинномысск, , ул. Белово, д. 5, корп. А, ","Токарь Алексей Алексеевич","+7(86554) 5-83-46","+7(86554) 5-83-27",+7(962)440-87-98,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","- город Невинномысск"
26,25,"Нефтекумское районное отделение судебных приставов","356880, Россия, Ставропольский край, Нефтекумский р-н, г. Нефтекумск, , ул. Дзержинского, 13, ,","Горобец Александр Викторович","+7(86558) 3-38-84","+7(86558) 3-38-83",+7(962)440-90-79,+78652258191,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","Нефтекумский муниципальный район"
26,26,"Новоалександровское районное отделение судебных приставов","356000, Россия, Ставропольский край, Новоалександровский р-н, Новоалександровск, , Матросова, 48, , ","Рябоконь Игорь Анатольевич","+7(86544) 6-04-83","+7(86544) 6-04-83",+7(962)440-93-54,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Новоалександровский муниципальный район"
26,27,"Новоселицкое районное отделение судебных приставов","356350, Россия, Ставропольский край, Новоселицкий р-н, , с. Новоселицкое, ул. Новоселицкая, 206, ,","Лещукова Галина Михайловна","+7(86548) 2-01-31","+7(86548) 2-12-32",+7(962)440-88-36,+7(8652)25-81-91,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","Новоселицкий муниципальный район"
26,28,"Петровское районное отделение судебных приставов","356530, Россия, Ставропольский край, Петровский р-н, г. Светлоград, , ул. Калинина, 5, ,","Маркова Марина Васильевна","+7(86547) 4-17-25","+7(86547) 4-22-32",+7(962)440-93-86,+78652258191,"вторник с 09.00 до 15.00,  четверг с 14.00 до 18.00","Петровский муниципальный район"
26,30,"Пятигорский городской отдел судебных приставов","357500, Россия, Ставропольский край, , г. Пятигорск, , Кирова пр-кт, 27, , ","Казарцев Александр Иванович","+7(8793) 33-33-27","+7(8793) 33-33-28",+7(962)440-93-34,+7(8652)25-81-91,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","- город-курорт Пятигорск"
26,31,"Степновское районное отделение судебных приставов","357930, Россия, Ставропольский край, Степновский р-н, , с. Степное, пл. Ленина, 17, а,","Белоглазов Евгений Александрович","+7(86563) 3-15-46","+7(86563) 3-15-46",+7(962)440-87-85,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Степновский муниципальный район"
26,32,"Советское районнное отделение судебных приставов","357910, Россия, Ставропольский край, Советский р-н, г. Зеленокумск, , пл. Ленина, 12, А,","Ржевский Антон Геннадьевич","+7(86552) 6-12-94","+7(86552) 6-12-94",+7(962)440-93-62,+78652258191,"вторник с 09.00 до 15.00, четверг с 14.00 до 18.00","Советский муниципальный район"
26,33,"Труновское районное отделение судебных приставов","356170, Россия, Ставропольский край, Труновский р-н, , с. Донское, ул. Ленина, 4, В,","Кононенко Людмила Николаевна","+7(86546) 3-11-04","+7(86546) 3-49-57",+7(962)440-93-67,+78652258191,"вторник с 09.00 до 15.00,          четверг с 14.00 до 18.00","Труновский муниципальный район"
