ull name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Главное Управление Федеральной службы судебных приставов по Кировской области","ГУФССП России по Кировской области","Бровченко Дмитрий Леонидович","Руководитель ГУФССП России по Кировской области — главный судебный пристав Кировской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","610000, г.Киров, ул.Московская, д.57","Понедельник - четверг с 8.00 до 17.00, пятница с 8.00 до 15.45","33000000","33401364000","73594993","1044316880288","4345093331","8 (8332) 48-97-97",,"+7(8332) 48-99-67","https://r43.fssp.gov.ru","mail@r43.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Костромской области","УФССП России по Костромской области","Шильников Денис Андреевич","Руководитель Управления Федеральной службы судебных приставов по Костромской области – главный судебный пристав Костромской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","156000,Костромская обл., г. Кострома, ул. Островского, д. 37,","Понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 09.00 до 16.45","34701000","34401000000","00013474","1044408642332","4401050486","8 (4942) 65-90-75","+7(4942)65-90-01","+7(4942)65-90-05","https://r44.fssp.gov.ru","mail@r44.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Курганской области","УФССП России по Курганской области","Уварова Ирина Лазаревна","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","640002,Курганская обл., г. Курган, ул. Коли Мяготина, 119,","Понедельник - четверг с 8:00 до 17:00, пятница с 8-00 до 16-00, перерыв с 12:00 до 12:48 ","37701000","37401000000","70573200","1044500026735","4501111767","8 (3522) 49-18-19","+7(3522) 49-18-34","+7(3522) 46-46-41","https://r45.fssp.gov.ru","mail@r45.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Курской области","УФССП России по Курской области","Шкурина Елена Васильевна","Руководитель УФССП России по Курской области — главный судебный пристав Курской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","305018,, г. Курск, ул. Черняховского, д. 4, ","Понедельник - четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 9:00 до 16:45","38701000","38401000000","74393877","1044637042603","4632048460","8 (4712) 36-07-71",,,"https://r46.fssp.gov.ru","mail@r46.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ленинградской области","УФССП России по Ленинградской области","Абатуров Глеб Владимирович","Руководитель УФССП России по Ленинградской области — главный судебный пристав Ленинградской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","199106,  Г. САНКТ-ПЕТЕРБУРГ, БОЛЬШОЙ ПР. В.О., Д. 80, ЛИТ. Б","Понедельник - четверг с 9:00 до 18:00, пятница с 09:00 до 16:45","40307000","40298564000","73340695","1047833068920","7842012440","8 (812) 630-35-36","+7(812)630-35-31",,"https://r47.fssp.gov.ru","mail@r47.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Липецкой области","УФССП России по Липецкой области","Макаров Глеб Валентинович","Руководитель УФССП России по Липецкой области - главный судебный пристав Липецкой области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","398043,Липецкая обл., г. Липецк, ул. Валентины Терешковой, д. 14, корп. 3,","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45 ","42000000","42000000000","74015342","1044800226580","4826044753","8 (4742) 36-89-97","+7(4742)35-51-35","+7(4742)35-41-23","https://r48.fssp.gov.ru","mail@r48.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Магаданской области","УФССП России по Магаданской области","Пряхин Антон Николаевич","Руководитель УФССП России по Магаданской области - главный судебный пристав Магаданской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","685000,Магаданская обл., г. Магадан, ул. Дзержинского, 1,","Понедельник - четверг с 9.00 до 18.45 для мужчин, с 9.00 до 17.45 для женщин, пятница с 9.00 до 17.30","44701000","44401000000","33959501","1054900000473","4909008999","8 (4132) 60-90-96",,"(4132) 64-96-85","https://r49.fssp.gov.ru","mail@r49.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Московской области","ГУФССП России по Московской области","Коновалов Николай Викторович","Руководитель ГУФССП России по Московской области — главный судебный пристав Московской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","143400, Московская область, г. Красногорск, ул. Речная, д. 8","Понедельник - среда с 9.00 до 18.00, четверг с 9.00 до 18.00, пятница с 9.00 до 16.45","46000000","46000000000","75397311","1047727043550","7727270309","8 (498) 568-98-30","+7(498)569-08-70","+7(498)568-98-30","https://r50.fssp.gov.ru","mail@r50.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Мурманской области","УФССП России по Мурманской области","Малюшкин Александр Сергеевич","Руководитель УФССП России по Мурманской области — главный судебный пристав Мурманской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","183012,Мурманская обл., г. Мурманск, ул. Карла Либкнехта, д. 46, корп. 2,","Понедельник - четверг с 09:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 09:00 до 16:45, перерыв с 13:00 до 13:45","47701000","47401000000","71896885","1045100220274","5190132481","8 (8152) 40-22-44","+7(8152)42-08-55","+7(8152)42-08-55","https://r51.fssp.gov.ru","mail@r51.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Нижегородской области","ГУФССП России по Нижегородской области","Морковкин Леонид Игоревич","Руководитель ГУФССП России по Нижегородской области — главный судебный пристав Нижегородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","603950,Нижегородская обл., г. Нижний Новгород, ул. Вождей Революции, д. 5а, корп. 1,","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45, перерыв с 12.30 до 13.30","22701000","22401000000","75675023","1045207492461","5263047008","8 (831) 223-99-54","+7 (831) 223-99-53","+7 (831) 223-99-67","https://r52.fssp.gov.ru","mail@r52.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Новгородской области","УФССП России по Новгородской области","Безызвестных Татьяна Георгиевна","Руководитель Управления - главный судебный пристав Новгородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","173001 г. Великий Новгород, ул. Ильина, д. 6","Понедельник - пятница, с 8:30 до 17:30, перерыв с 13:00 до 14:00","49701000","49401000000","74991584","1045300293422","5321100670","8 (8162) 99-36-18","+7862774463","+78162739894","https://r53.fssp.gov.ru","mail@r53.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Новосибирской области","ГУФССП России по Новосибирской области","Бабков Эдуард Витальевич","Руководитель Главного управления Федеральной службы судебных приставов по Новосибирской области - главный судебный пристав Новосибирской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","630005,Новосибирская обл., г. Новосибирск, Красный пр-кт, 86/1,","Понедельник - четверг с 8:00 до 17:00, пятница с 08:00 до 15:45","50701000","50401386000","74953661","1045402545825","5406299260","8 (383) 241 07 11","+7(383)241-07-06","+7(383)241-07-05","https://r54.fssp.gov.ru","mail@r54.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Омской области","УФССП России по Омской области","Титова Галина Михайлолвна","Руководитель УФССП России по Омской области — главный судебный пристав Омской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","644099,, г. Омск, ул. Ленина, 14, ","Понедельник - четверг с 8:30 до 17:45, пятница с 8:30 до 16:30","52701000","52401000000","56418183","1045504039140","5503085514","8 (3812) 97-67-00","+7(3812)55-32-19",,"https://r55.fssp.gov.ru","mail@r55.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Оренбургской области","ГУФССП России по Оренбургской области","Шерстнёв Руслан Алексеевич","Врио руководителя ГУФССП России по Оренбургской области — главного судебного пристава Оренбургской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","460009,Оренбургская обл., г. Оренбург, ул. Ткачева, 8, ","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13:45","53701000","53401368000","74718115","1045605473308","5611032615","8 (3532) 34 19 57","+7(3532)34-19-77","+7(3532)34-19-00","https://r56.fssp.gov.ru","mail@r56.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Орловской области","УФССП России по Орловской области","Смирнов Михаил Витальевич","Руководитель УФССП России по Орловской области - главный судебный пристав Орловской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","302010, Орловская область, город Орел, улица Авиационная, 5","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 17:00","54701000","54401000000","75660792","1045752010941","5752035640","8 (4862) 72-42-09","+7(4862)72-52-83","+7(4862)72-42-02","https://r57.fssp.gov.ru","mail@r57.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Пензенской области","УФССП России по Пензенской области","Илькин Николай Кузьмич","Руководитель УФССП России по Пензенской области – главный судебный пристав Пензенской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","440008,Пензенская обл., г. Пенза, ул. Пушкина, д. 17А,","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 16:45. Перерыв с 13:00 до 13:45, четверг с 12:00 до 12:45","56701000","56401000000","00013474","1045802010253","5836013315","8 (8412) 90-65-55","+7(8412)68-19-87","+7(8412)68-38-87","https://r58.fssp.gov.ru","mail@r58.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Пермскому краю","ГУФССП России по Пермскому краю","Неведомский Сергей Анатольевич","Руководитель Главного управления   ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","614066,Пермский край, г. Пермь, ул. Советской Армии, 28,","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 17.00, перерыв с 13.00 до 13.48","57701000","57401367000","78897617","1065905100150","5905239700","8 (342) 220-11-59","+7(342)220-11-60","+7(342)221-81-15","https://r59.fssp.gov.ru","mail@r59.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Псковской области","УФССП России по Псковской области","Колесников Сергей Анатольевич","Руководитель УФССП России по Псковской области–главный судебный пристав Псковской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","180019,Псковская обл., г. Псков, ул. Текстильная, д. 3, ","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 16:45, перерыв с 13:00 до 14:00","58701000","58401000000","74324994","1046000329275","6027086158","8 (8112) 69 90 82",,,"https://r60.fssp.gov.ru","mail@r60.fssp.gov.ru"
